Iterations,fitness,chromosome
0,1.0975390624999994,[-2.8, 1.25]
10,0.4346783997555601,[2.6, 0.19]
20,0.07707962939564152,[2.49, 0.34]
30,0.06527771145215998,[2.6, 0.34]
40,0.06527771145215998,[2.6, 0.34]
50,0.06527771145215998,[2.6, 0.34]
60,0.06527771145215998,[2.6, 0.34]
70,0.06527771145215998,[2.6, 0.34]
80,0.06527771145215998,[2.6, 0.34]
90,0.06527771145215998,[2.6, 0.34]
100,0.06527771145215998,[2.6, 0.34]
110,0.06527771145215998,[2.6, 0.34]
120,0.06527771145215998,[2.6, 0.34]
130,0.012349952360960027,[3.2, 0.53]
140,0.012349952360960027,[3.2, 0.53]
150,0.003750423027502482,[3.15, 0.53]
160,0.003750423027502482,[3.15, 0.53]
170,0.003750423027502482,[3.15, 0.53]
180,0.003750423027502482,[3.15, 0.53]
190,0.003750423027502482,[3.15, 0.53]
200,0.003750423027502482,[3.15, 0.53]
210,0.003750423027502482,[3.15, 0.53]
220,0.003750423027502482,[3.15, 0.53]
230,0.003750423027502482,[3.15, 0.53]
240,0.003750423027502482,[3.15, 0.53]
250,0.003750423027502482,[3.15, 0.53]
260,0.003750423027502482,[3.15, 0.53]
270,0.003750423027502482,[3.15, 0.53]
280,0.003750423027502482,[3.15, 0.53]
290,0.003750423027502482,[3.15, 0.53]
300,0.003750423027502482,[3.15, 0.53]
310,0.003750423027502482,[3.15, 0.53]
320,0.003750423027502482,[3.15, 0.53]
330,0.003750423027502482,[3.15, 0.53]
340,0.003750423027502482,[3.15, 0.53]
350,0.003750423027502482,[3.15, 0.53]
360,0.003750423027502482,[3.15, 0.53]
370,0.003750423027502482,[3.15, 0.53]
380,0.003750423027502482,[3.15, 0.53]
390,0.003750423027502482,[3.15, 0.53]
400,0.003750423027502482,[3.15, 0.53]
410,0.003750423027502482,[3.15, 0.53]
420,0.003750423027502482,[3.15, 0.53]
430,0.003750423027502482,[3.15, 0.53]
440,0.003750423027502482,[3.15, 0.53]
450,0.003750423027502482,[3.15, 0.53]
460,0.003750423027502482,[3.15, 0.53]
470,0.003750423027502482,[3.15, 0.53]
480,0.003750423027502482,[3.15, 0.53]
490,0.003750423027502482,[3.15, 0.53]
500,0.003750423027502482,[3.15, 0.53]
510,0.003750423027502482,[3.15, 0.53]
520,0.003750423027502482,[3.15, 0.53]
530,0.003750423027502482,[3.15, 0.53]
540,0.003750423027502482,[3.15, 0.53]
550,0.003750423027502482,[3.15, 0.53]
560,0.003750423027502482,[3.15, 0.53]
570,0.003750423027502482,[3.15, 0.53]
580,0.003750423027502482,[3.15, 0.53]
590,0.003750423027502482,[3.15, 0.53]
600,0.003750423027502482,[3.15, 0.53]
610,0.003750423027502482,[3.15, 0.53]
620,0.003750423027502482,[3.15, 0.53]
630,0.003750423027502482,[3.15, 0.53]
640,0.003750423027502482,[3.15, 0.53]
650,0.003750423027502482,[3.15, 0.53]
660,0.003750423027502482,[3.15, 0.53]
670,0.003750423027502482,[3.15, 0.53]
680,0.003750423027502482,[3.15, 0.53]
690,0.003750423027502482,[3.15, 0.53]
700,0.003750423027502482,[3.15, 0.53]
710,0.003750423027502482,[3.15, 0.53]
720,0.003750423027502482,[3.15, 0.53]
730,0.003750423027502482,[3.15, 0.53]
740,0.003750423027502482,[3.15, 0.53]
750,0.003750423027502482,[3.15, 0.53]
760,0.003750423027502482,[3.15, 0.53]
770,0.003750423027502482,[3.15, 0.53]
780,0.003750423027502482,[3.15, 0.53]
790,0.003750423027502482,[3.15, 0.53]
800,0.003750423027502482,[3.15, 0.53]
810,0.003750423027502482,[3.15, 0.53]
820,0.003750423027502482,[3.15, 0.53]
830,0.003750423027502482,[3.15, 0.53]
840,0.003750423027502482,[3.15, 0.53]
850,0.003750423027502482,[3.15, 0.53]
860,0.003750423027502482,[3.15, 0.53]
870,0.003750423027502482,[3.15, 0.53]
880,0.003750423027502482,[3.15, 0.53]
890,0.003750423027502482,[3.15, 0.53]
900,0.003750423027502482,[3.15, 0.53]
910,0.003750423027502482,[3.15, 0.53]
920,0.003750423027502482,[3.15, 0.53]
930,0.003750423027502482,[3.15, 0.53]
940,0.003750423027502482,[3.15, 0.53]
950,0.003750423027502482,[3.15, 0.53]
960,0.003750423027502482,[3.15, 0.53]
970,0.003750423027502482,[3.15, 0.53]
980,0.003750423027502482,[3.15, 0.53]
990,0.003750423027502482,[3.15, 0.53]
1000,0.003750423027502482,[3.15, 0.53]
1010,0.003750423027502482,[3.15, 0.53]
1020,0.003750423027502482,[3.15, 0.53]
1030,0.003750423027502482,[3.15, 0.53]
1040,0.003750423027502482,[3.15, 0.53]
1050,0.003750423027502482,[3.15, 0.53]
1060,0.003750423027502482,[3.15, 0.53]
1070,0.003750423027502482,[3.15, 0.53]
1080,0.003750423027502482,[3.15, 0.53]
1090,0.003750423027502482,[3.15, 0.53]
1100,0.003750423027502482,[3.15, 0.53]
1110,0.003750423027502482,[3.15, 0.53]
1120,0.003750423027502482,[3.15, 0.53]
1130,0.003750423027502482,[3.15, 0.53]
1140,0.003750423027502482,[3.15, 0.53]
1150,0.003750423027502482,[3.15, 0.53]
1160,0.003750423027502482,[3.15, 0.53]
1170,0.003750423027502482,[3.15, 0.53]
1180,0.003750423027502482,[3.15, 0.53]
1190,0.003750423027502482,[3.15, 0.53]
1200,0.003750423027502482,[3.15, 0.53]
1210,0.003750423027502482,[3.15, 0.53]
1220,0.003750423027502482,[3.15, 0.53]
1230,0.003750423027502482,[3.15, 0.53]
1240,0.003750423027502482,[3.15, 0.53]
1250,0.003750423027502482,[3.15, 0.53]
1260,0.003750423027502482,[3.15, 0.53]
1270,0.003750423027502482,[3.15, 0.53]
1280,0.003750423027502482,[3.15, 0.53]
1290,0.003750423027502482,[3.15, 0.53]
1300,0.003750423027502482,[3.15, 0.53]
