Iterations,fitness,chromosome
0,-105.28798188099528,[-1.48, -3.11]
10,-106.39339636655181,[-1.63, -3.11]
20,-106.39339636655181,[-1.63, -3.11]
30,-106.39339636655181,[-1.63, -3.11]
40,-106.39339636655181,[-1.63, -3.11]
50,-106.39339636655181,[-1.63, -3.11]
60,-106.39339636655181,[-1.63, -3.11]
70,-106.39339636655181,[-1.63, -3.11]
80,-106.39339636655181,[-1.63, -3.11]
90,-106.39339636655181,[-1.63, -3.11]
100,-106.39339636655181,[-1.63, -3.11]
110,-106.45122750637134,[-1.63, -3.13]
120,-106.45122750637134,[-1.63, -3.13]
130,-106.45122750637134,[-1.63, -3.13]
140,-106.45122750637134,[-1.63, -3.13]
150,-106.45122750637134,[-1.63, -3.13]
160,-106.45122750637134,[-1.63, -3.13]
170,-106.45122750637134,[-1.63, -3.13]
180,-106.45122750637134,[-1.63, -3.13]
190,-106.45122750637134,[-1.63, -3.13]
200,-106.45122750637134,[-1.63, -3.13]
210,-106.45122750637134,[-1.63, -3.13]
220,-106.45122750637134,[-1.63, -3.13]
230,-106.45122750637134,[-1.63, -3.13]
240,-106.45122750637134,[-1.63, -3.13]
250,-106.45122750637134,[-1.63, -3.13]
260,-106.45122750637134,[-1.63, -3.13]
270,-106.45122750637134,[-1.63, -3.13]
280,-106.45122750637134,[-1.63, -3.13]
290,-106.45122750637134,[-1.63, -3.13]
300,-106.45122750637134,[-1.63, -3.13]
310,-106.45122750637134,[-1.63, -3.13]
320,-106.45122750637134,[-1.63, -3.13]
330,-106.45122750637134,[-1.63, -3.13]
340,-106.45122750637134,[-1.63, -3.13]
350,-106.45122750637134,[-1.63, -3.13]
360,-106.45122750637134,[-1.63, -3.13]
370,-106.45122750637134,[-1.63, -3.13]
380,-106.45122750637134,[-1.63, -3.13]
390,-106.45122750637134,[-1.63, -3.13]
400,-106.45122750637134,[-1.63, -3.13]
410,-106.45122750637134,[-1.63, -3.13]
420,-106.45122750637134,[-1.63, -3.13]
430,-106.45122750637134,[-1.63, -3.13]
440,-106.45122750637134,[-1.63, -3.13]
450,-106.45122750637134,[-1.63, -3.13]
460,-106.45122750637134,[-1.63, -3.13]
470,-106.45122750637134,[-1.63, -3.13]
480,-106.45122750637134,[-1.63, -3.13]
490,-106.45122750637134,[-1.63, -3.13]
500,-106.76389893908478,[-1.58, -3.13]
510,-106.76389893908478,[-1.58, -3.13]
520,-106.76389893908478,[-1.58, -3.13]
530,-106.76389893908478,[-1.58, -3.13]
540,-106.76389893908478,[-1.58, -3.13]
550,-106.76389893908478,[-1.58, -3.13]
560,-106.76389893908478,[-1.58, -3.13]
570,-106.76389893908478,[-1.58, -3.13]
580,-106.76389893908478,[-1.58, -3.13]
590,-106.76389893908478,[-1.58, -3.13]
600,-106.76389893908478,[-1.58, -3.13]
610,-106.76389893908478,[-1.58, -3.13]
620,-106.76389893908478,[-1.58, -3.13]
630,-106.76389893908478,[-1.58, -3.13]
640,-106.76389893908478,[-1.58, -3.13]
650,-106.76389893908478,[-1.58, -3.13]
660,-106.76389893908478,[-1.58, -3.13]
670,-106.76389893908478,[-1.58, -3.13]
680,-106.76389893908478,[-1.58, -3.13]
690,-106.76389893908478,[-1.58, -3.13]
700,-106.76389893908478,[-1.58, -3.13]
710,-106.76389893908478,[-1.58, -3.13]
720,-106.76389893908478,[-1.58, -3.13]
730,-106.76389893908478,[-1.58, -3.13]
740,-106.76389893908478,[-1.58, -3.13]
750,-106.76389893908478,[-1.58, -3.13]
760,-106.76389893908478,[-1.58, -3.13]
770,-106.76389893908478,[-1.58, -3.13]
780,-106.76389893908478,[-1.58, -3.13]
790,-106.76389893908478,[-1.58, -3.13]
800,-106.76389893908478,[-1.58, -3.13]
810,-106.76389893908478,[-1.58, -3.13]
820,-106.76389893908478,[-1.58, -3.13]
830,-106.76389893908478,[-1.58, -3.13]
840,-106.76389893908478,[-1.58, -3.13]
850,-106.76389893908478,[-1.58, -3.13]
860,-106.76389893908478,[-1.58, -3.13]
870,-106.76389893908478,[-1.58, -3.13]
880,-106.76389893908478,[-1.58, -3.13]
890,-106.76389893908478,[-1.58, -3.13]
900,-106.76389893908478,[-1.58, -3.13]
910,-106.76389893908478,[-1.58, -3.13]
920,-106.76389893908478,[-1.58, -3.13]
930,-106.76389893908478,[-1.58, -3.13]
940,-106.76389893908478,[-1.58, -3.13]
950,-106.76389893908478,[-1.58, -3.13]
960,-106.76389893908478,[-1.58, -3.13]
970,-106.76389893908478,[-1.58, -3.13]
980,-106.76389893908478,[-1.58, -3.13]
990,-106.76389893908478,[-1.58, -3.13]
1000,-106.76389893908478,[-1.58, -3.13]
1010,-106.76389893908478,[-1.58, -3.13]
1020,-106.76389893908478,[-1.58, -3.13]
1030,-106.76389893908478,[-1.58, -3.13]
