Iterations,fitness,chromosome
0,23.69383799544201,[3.17, -2.57]
10,11.176859535060219,[3.17, 0.33]
20,11.176859535060219,[3.17, 0.33]
30,11.176859535060219,[3.17, 0.33]
40,11.176859535060219,[3.17, 0.33]
50,11.176859535060219,[3.17, 0.33]
60,11.176859535060219,[3.17, 0.33]
70,11.176859535060219,[3.17, 0.33]
80,11.176859535060219,[3.17, 0.33]
90,11.176859535060219,[3.17, 0.33]
100,11.176859535060219,[3.17, 0.33]
110,11.176859535060219,[3.17, 0.33]
120,11.176859535060219,[3.17, 0.33]
130,11.176859535060219,[3.17, 0.33]
140,11.176859535060219,[3.17, 0.33]
150,10.654947825667108,[-3.04, 0.33]
160,2.4114719607732527,[-0.99, 0.33]
170,2.4114719607732527,[-0.99, 0.33]
180,2.4114719607732527,[-0.99, 0.33]
190,2.4114719607732527,[-0.99, 0.33]
200,2.4114719607732527,[-0.99, 0.33]
210,2.4114719607732527,[-0.99, 0.33]
220,2.4114719607732527,[-0.99, 0.33]
230,2.4114719607732527,[-0.99, 0.33]
240,2.4114719607732527,[-0.99, 0.33]
250,2.4114719607732527,[-0.99, 0.33]
260,2.4114719607732527,[-0.99, 0.33]
270,2.4114719607732527,[-0.99, 0.33]
280,2.4114719607732527,[-0.99, 0.33]
290,2.4114719607732527,[-0.99, 0.33]
300,2.4114719607732527,[-0.99, 0.33]
310,2.4114719607732527,[-0.99, 0.33]
320,2.4114719607732527,[-0.99, 0.33]
330,2.4114719607732527,[-0.99, 0.33]
340,2.4114719607732527,[-0.99, 0.33]
350,2.4114719607732527,[-0.99, 0.33]
360,2.4114719607732527,[-0.99, 0.33]
370,2.4114719607732527,[-0.99, 0.33]
380,2.4114719607732527,[-0.99, 0.33]
390,2.4114719607732527,[-0.99, 0.33]
400,2.4114719607732527,[-0.99, 0.33]
410,2.4114719607732527,[-0.99, 0.33]
420,2.4114719607732527,[-0.99, 0.33]
430,2.4114719607732527,[-0.99, 0.33]
440,2.4114719607732527,[-0.99, 0.33]
450,2.4114719607732527,[-0.99, 0.33]
460,2.4114719607732527,[-0.99, 0.33]
470,2.4114719607732527,[-0.99, 0.33]
480,2.4114719607732527,[-0.99, 0.33]
490,2.4114719607732527,[-0.99, 0.33]
500,2.4114719607732527,[-0.99, 0.33]
510,2.4114719607732527,[-0.99, 0.33]
520,2.4114719607732527,[-0.99, 0.33]
530,2.4114719607732527,[-0.99, 0.33]
540,2.4114719607732527,[-0.99, 0.33]
550,2.4114719607732527,[-0.99, 0.33]
560,2.4114719607732527,[-0.99, 0.33]
570,2.4114719607732527,[-0.99, 0.33]
580,1.455490411678436,[0.46, 0.33]
590,1.455490411678436,[0.46, 0.33]
600,1.455490411678436,[0.46, 0.33]
610,1.455490411678436,[0.46, 0.33]
620,1.455490411678436,[0.46, 0.33]
630,1.455490411678436,[0.46, 0.33]
640,1.455490411678436,[0.46, 0.33]
650,1.455490411678436,[0.46, 0.33]
660,1.455490411678436,[0.46, 0.33]
670,1.455490411678436,[0.46, 0.33]
680,1.455490411678436,[0.46, 0.33]
690,1.455490411678436,[0.46, 0.33]
700,1.455490411678436,[0.46, 0.33]
710,1.455490411678436,[0.46, 0.33]
720,1.455490411678436,[0.46, 0.33]
730,1.455490411678436,[0.46, 0.33]
740,1.455490411678436,[0.46, 0.33]
750,1.455490411678436,[0.46, 0.33]
760,1.455490411678436,[0.46, 0.33]
770,1.455490411678436,[0.46, 0.33]
780,1.455490411678436,[0.46, 0.33]
790,1.455490411678436,[0.46, 0.33]
800,1.455490411678436,[0.46, 0.33]
810,1.455490411678436,[0.46, 0.33]
820,1.455490411678436,[0.46, 0.33]
830,1.455490411678436,[0.46, 0.33]
840,1.455490411678436,[0.46, 0.33]
850,1.455490411678436,[0.46, 0.33]
860,1.455490411678436,[0.46, 0.33]
