Iterations,fitness,chromosome
0,2.1617000000000006,[0.06, 4.09]
10,0.8021000000000009,[1.23, 2.44]
20,0.8021000000000009,[1.23, 2.44]
30,0.8021000000000009,[1.23, 2.44]
40,0.8021000000000009,[1.23, 2.44]
50,0.11569999999999989,[1.23, 2.88]
60,0.11569999999999989,[1.23, 2.88]
70,0.11569999999999989,[1.23, 2.88]
80,0.11569999999999989,[1.23, 2.88]
90,0.11569999999999989,[1.23, 2.88]
100,0.11569999999999989,[1.23, 2.88]
110,0.11569999999999989,[1.23, 2.88]
120,0.11569999999999989,[1.23, 2.88]
130,0.11569999999999989,[1.23, 2.88]
140,0.11569999999999989,[1.23, 2.88]
150,0.11569999999999989,[1.23, 2.88]
160,0.11569999999999989,[1.23, 2.88]
170,0.11569999999999989,[1.23, 2.88]
180,0.11569999999999989,[1.23, 2.88]
190,0.11569999999999989,[1.23, 2.88]
200,0.11569999999999989,[1.23, 2.88]
210,0.11569999999999989,[1.23, 2.88]
220,0.11569999999999989,[1.23, 2.88]
230,0.11569999999999989,[1.23, 2.88]
240,0.11569999999999989,[1.23, 2.88]
250,0.11569999999999989,[1.23, 2.88]
260,0.11569999999999989,[1.23, 2.88]
270,0.11569999999999989,[1.23, 2.88]
280,0.11569999999999989,[1.23, 2.88]
290,0.11569999999999989,[1.23, 2.88]
300,0.11569999999999989,[1.23, 2.88]
310,0.11569999999999989,[1.23, 2.88]
320,0.11569999999999989,[1.23, 2.88]
330,0.11569999999999989,[1.23, 2.88]
340,0.11569999999999989,[1.23, 2.88]
350,0.11569999999999989,[1.23, 2.88]
360,0.11569999999999989,[1.23, 2.88]
370,0.11569999999999989,[1.23, 2.88]
380,0.11569999999999989,[1.23, 2.88]
390,0.11569999999999989,[1.23, 2.88]
400,0.11569999999999989,[1.23, 2.88]
410,0.0323999999999999,[1.06, 2.88]
420,0.0323999999999999,[1.06, 2.88]
430,0.0323999999999999,[1.06, 2.88]
440,0.0323999999999999,[1.06, 2.88]
450,0.0323999999999999,[1.06, 2.88]
460,0.0323999999999999,[1.06, 2.88]
470,0.0323999999999999,[1.06, 2.88]
480,0.0323999999999999,[1.06, 2.88]
490,0.0323999999999999,[1.06, 2.88]
500,0.0323999999999999,[1.06, 2.88]
510,0.0323999999999999,[1.06, 2.88]
520,0.0323999999999999,[1.06, 2.88]
530,0.0323999999999999,[1.06, 2.88]
540,0.0323999999999999,[1.06, 2.88]
550,0.0323999999999999,[1.06, 2.88]
560,0.0323999999999999,[1.06, 2.88]
570,0.0323999999999999,[1.06, 2.88]
580,0.0323999999999999,[1.06, 2.88]
590,0.0323999999999999,[1.06, 2.88]
600,0.0323999999999999,[1.06, 2.88]
610,0.0323999999999999,[1.06, 2.88]
620,0.0323999999999999,[1.06, 2.88]
630,0.0323999999999999,[1.06, 2.88]
640,0.0323999999999999,[1.06, 2.88]
650,0.0323999999999999,[1.06, 2.88]
660,0.0323999999999999,[1.06, 2.88]
670,0.0323999999999999,[1.06, 2.88]
680,0.0323999999999999,[1.06, 2.88]
690,0.0323999999999999,[1.06, 2.88]
700,0.0323999999999999,[1.06, 2.88]
710,0.0323999999999999,[1.06, 2.88]
720,0.0323999999999999,[1.06, 2.88]
730,0.0323999999999999,[1.06, 2.88]
740,0.0323999999999999,[1.06, 2.88]
750,0.0323999999999999,[1.06, 2.88]
760,0.0323999999999999,[1.06, 2.88]
