Iterations,fitness,chromosome
0,4.225828363075784,[9.51, 3.08]
10,4.040959548861508,[3.21, 2.54]
20,4.040959548861508,[3.21, 2.54]
30,4.010562878983797,[3.17, 2.54]
40,3.9471914629987026,[9.51, 2.54]
50,3.9471914629987026,[9.51, 2.54]
60,3.9471914629987026,[9.51, 2.54]
70,3.9471914629987026,[9.51, 2.54]
80,3.9471914629987026,[9.51, 2.54]
90,3.9471914629987026,[9.51, 2.54]
100,3.9471914629987026,[9.51, 2.54]
110,3.9471914629987026,[9.51, 2.54]
120,3.9471914629987026,[9.51, 2.54]
130,3.9471914629987026,[9.51, 2.54]
140,3.9471914629987026,[9.51, 2.54]
150,3.9471914629987026,[9.51, 2.54]
160,3.9471914629987026,[9.51, 2.54]
170,3.9471914629987026,[9.51, 2.54]
180,3.9471914629987026,[9.51, 2.54]
190,3.9471914629987026,[9.51, 2.54]
200,3.9471914629987026,[9.51, 2.54]
210,3.9471914629987026,[9.51, 2.54]
220,3.9471914629987026,[9.51, 2.54]
230,3.9471914629987026,[9.51, 2.54]
240,3.9471914629987026,[9.51, 2.54]
250,3.9471914629987026,[9.51, 2.54]
260,3.9471914629987026,[9.51, 2.54]
270,3.9471914629987026,[9.51, 2.54]
280,3.9471914629987026,[9.51, 2.54]
290,3.9471914629987026,[9.51, 2.54]
300,3.9471914629987026,[9.51, 2.54]
310,3.9471914629987026,[9.51, 2.54]
320,3.9471914629987026,[9.51, 2.54]
330,3.9471914629987026,[9.51, 2.54]
340,3.9471914629987026,[9.51, 2.54]
350,3.9471914629987026,[9.51, 2.54]
360,3.9471914629987026,[9.51, 2.54]
370,3.9471914629987026,[9.51, 2.54]
380,3.9471914629987026,[9.51, 2.54]
390,3.9471914629987026,[9.51, 2.54]
400,3.9471914629987026,[9.51, 2.54]
410,3.9471914629987026,[9.51, 2.54]
420,3.9471914629987026,[9.51, 2.54]
430,3.9471914629987026,[9.51, 2.54]
440,3.9471914629987026,[9.51, 2.54]
450,3.9471914629987026,[9.51, 2.54]
460,3.9471914629987026,[9.51, 2.54]
470,3.9471914629987026,[9.51, 2.54]
480,3.9471914629987026,[9.51, 2.54]
490,3.9471914629987026,[9.51, 2.54]
500,3.93171604576673,[9.47, 2.54]
510,3.93171604576673,[9.47, 2.54]
520,3.93171604576673,[9.47, 2.54]
530,3.93171604576673,[9.47, 2.54]
540,3.93171604576673,[9.47, 2.54]
550,3.93171604576673,[9.47, 2.54]
560,3.93171604576673,[9.47, 2.54]
570,3.93171604576673,[9.47, 2.54]
580,3.93171604576673,[9.47, 2.54]
590,3.93171604576673,[9.47, 2.54]
600,3.93171604576673,[9.47, 2.54]
610,3.93171604576673,[9.47, 2.54]
620,3.93171604576673,[9.47, 2.54]
630,3.93171604576673,[9.47, 2.54]
640,3.93171604576673,[9.47, 2.54]
650,3.93171604576673,[9.47, 2.54]
660,3.93171604576673,[9.47, 2.54]
670,3.93171604576673,[9.47, 2.54]
680,3.93171604576673,[9.47, 2.54]
690,3.93171604576673,[9.47, 2.54]
700,3.93171604576673,[9.47, 2.54]
710,3.93171604576673,[9.47, 2.54]
720,3.93171604576673,[9.47, 2.54]
730,3.93171604576673,[9.47, 2.54]
740,3.93171604576673,[9.47, 2.54]
750,3.93171604576673,[9.47, 2.54]
760,3.93171604576673,[9.47, 2.54]
770,3.93171604576673,[9.47, 2.54]
780,3.93171604576673,[9.47, 2.54]
790,3.93171604576673,[9.47, 2.54]
