Iterations,fitness,chromosome
0,7.854800000000001,[-8.52, -7.62]
10,0.5882000000000001,[-9.51, -9.41]
20,0.28249999999999925,[-9.47, -9.96]
30,0.24170000000000014,[-9.51, -9.96]
40,0.24170000000000014,[-9.51, -9.96]
50,0.24170000000000014,[-9.51, -9.96]
60,0.24170000000000014,[-9.51, -9.96]
70,0.24170000000000014,[-9.51, -9.96]
80,0.24170000000000014,[-9.51, -9.96]
90,0.24170000000000014,[-9.51, -9.96]
100,0.24170000000000014,[-9.51, -9.96]
110,0.24170000000000014,[-9.51, -9.96]
120,0.24170000000000014,[-9.51, -9.96]
130,0.12409999999999968,[-9.65, -9.96]
140,0.12409999999999968,[-9.65, -9.96]
150,0.12409999999999968,[-9.65, -9.96]
160,0.12409999999999968,[-9.65, -9.96]
170,0.12409999999999968,[-9.65, -9.96]
180,0.12409999999999968,[-9.65, -9.96]
190,0.12409999999999968,[-9.65, -9.96]
200,0.12409999999999968,[-9.65, -9.96]
210,0.12409999999999968,[-9.65, -9.96]
220,0.12409999999999968,[-9.65, -9.96]
230,0.12409999999999968,[-9.65, -9.96]
240,0.12409999999999968,[-9.65, -9.96]
250,0.12409999999999968,[-9.65, -9.96]
260,0.12409999999999968,[-9.65, -9.96]
270,0.12409999999999968,[-9.65, -9.96]
280,0.12409999999999968,[-9.65, -9.96]
290,0.12409999999999968,[-9.65, -9.96]
300,0.12409999999999968,[-9.65, -9.96]
310,0.12409999999999968,[-9.65, -9.96]
320,0.12409999999999968,[-9.65, -9.96]
330,0.12409999999999968,[-9.65, -9.96]
340,0.12409999999999968,[-9.65, -9.96]
350,0.12409999999999968,[-9.65, -9.96]
360,0.12409999999999968,[-9.65, -9.96]
370,0.12409999999999968,[-9.65, -9.96]
380,0.12409999999999968,[-9.65, -9.96]
390,0.12409999999999968,[-9.65, -9.96]
400,0.12409999999999968,[-9.65, -9.96]
410,0.12409999999999968,[-9.65, -9.96]
420,0.12409999999999968,[-9.65, -9.96]
430,0.05920000000000004,[-9.76, -9.96]
440,0.024100000000000038,[-9.85, -9.96]
450,0.024100000000000038,[-9.85, -9.96]
460,0.024100000000000038,[-9.85, -9.96]
